[host] embedded mode: perry staticlib in-process
[host] perry_module_init done in 16.9469ms
[host] frontend hello: {"t":"hello","proto":1,"title":"PerryTS × GPUI"}
[host] window opened
FLUSH 1790015645009 n=239
FLUSH 1790015645179 n=2
FLUSH 1790015645680 n=3
FLUSH 1790015646196 n=2
FLUSH 1790015646695 n=3
FLUSH 1790015647213 n=2
FLUSH 1790015647712 n=3
FLUSH 1790015648229 n=2
FLUSH 1790015648729 n=1
FLUSH 1790015648745 n=2
FLUSH 1790015649262 n=2
FLUSH 1790015649745 n=1
FLUSH 1790015649762 n=2
FLUSH 1790015650277 n=2
FLUSH 1790015650762 n=1
FLUSH 1790015650777 n=2
FLUSH 1790015651292 n=2
FLUSH 1790015651781 n=1
FLUSH 1790015651796 n=2
FLUSH 1790015652311 n=2
FLUSH 1790015652794 n=1
FLUSH 1790015652825 n=2
FLUSH 1790015653337 n=2
FLUSH 1790015653811 n=1
FLUSH 1790015653845 n=2
FLUSH 1790015654346 n=2
FLUSH 1790015654816 n=1
FLUSH 1790015654852 n=2
FLUSH 1790015655362 n=2
FLUSH 1790015655829 n=1
FLUSH 1790015655877 n=2
FLUSH 1790015656377 n=2
FLUSH 1790015656830 n=1
FLUSH 1790015656878 n=2
FLUSH 1790015657394 n=2
FLUSH 1790015657831 n=1
FLUSH 1790015657912 n=2
FLUSH 1790015658417 n=2
FLUSH 1790015658845 n=1
[host] click id=63 -> tx
[host] ev write: {"t":"event","target":63,"kind":"click"}
FLUSH 1790015658921 n=2
FLUSH 1790015659428 n=2
FLUSH 1790015659862 n=1
FLUSH 1790015659928 n=2
FLUSH 1790015660443 n=2
FLUSH 1790015660862 n=1
FLUSH 1790015660943 n=2
FLUSH 1790015661445 n=2
FLUSH 1790015661862 n=1
FLUSH 1790015661950 n=2
FLUSH 1790015662445 n=2
FLUSH 1790015662878 n=1
FLUSH 1790015662961 n=2
FLUSH 1790015663477 n=2
FLUSH 1790015663894 n=1
FLUSH 1790015663978 n=2
FLUSH 1790015664477 n=2
FLUSH 1790015664896 n=1
FLUSH 1790015664995 n=2
FLUSH 1790015665509 n=2
FLUSH 1790015665907 n=1
FLUSH 1790015666011 n=2
FLUSH 1790015666511 n=2
FLUSH 1790015666912 n=1
FLUSH 1790015667027 n=2
FLUSH 1790015667527 n=2
FLUSH 1790015667909 n=1
FLUSH 1790015668044 n=2
FLUSH 1790015668561 n=2
FLUSH 1790015668910 n=1
FLUSH 1790015669077 n=2
FLUSH 1790015669592 n=2
FLUSH 1790015669921 n=1
FLUSH 1790015670095 n=2
FLUSH 1790015670599 n=2
FLUSH 1790015670927 n=1
FLUSH 1790015671100 n=2
FLUSH 1790015671610 n=2
FLUSH 1790015671945 n=1
FLUSH 1790015672113 n=2
FLUSH 1790015672618 n=2
FLUSH 1790015672948 n=1
FLUSH 1790015673131 n=2
FLUSH 1790015673645 n=2
FLUSH 1790015673957 n=1
FLUSH 1790015674151 n=2
FLUSH 1790015674658 n=2
FLUSH 1790015674966 n=1
FLUSH 1790015675170 n=2
FLUSH 1790015675675 n=2
FLUSH 1790015675976 n=1
FLUSH 1790015676184 n=2
FLUSH 1790015676682 n=2
FLUSH 1790015676981 n=1
FLUSH 1790015677194 n=2
FLUSH 1790015677698 n=2
FLUSH 1790015677995 n=1
FLUSH 1790015678199 n=2
FLUSH 1790015678715 n=2
FLUSH 1790015678998 n=1
FLUSH 1790015679216 n=2
FLUSH 1790015679730 n=2
FLUSH 1790015680003 n=1
FLUSH 1790015680231 n=2
FLUSH 1790015680732 n=2
FLUSH 1790015681003 n=1
FLUSH 1790015681245 n=2
FLUSH 1790015681752 n=2
FLUSH 1790015682014 n=1
FLUSH 1790015682262 n=2
FLUSH 1790015682767 n=2
FLUSH 1790015683021 n=1
FLUSH 1790015683273 n=2
FLUSH 1790015683776 n=2
FLUSH 1790015684031 n=1
FLUSH 1790015684289 n=2
FLUSH 1790015684794 n=2
FLUSH 1790015685042 n=1
FLUSH 1790015685307 n=2
FLUSH 1790015685812 n=2
FLUSH 1790015686046 n=1
FLUSH 1790015686313 n=2
FLUSH 1790015686826 n=2
FLUSH 1790015687054 n=1
FLUSH 1790015687343 n=2
FLUSH 1790015687846 n=2
FLUSH 1790015688055 n=1
FLUSH 1790015688352 n=2
FLUSH 1790015688860 n=2
FLUSH 1790015689063 n=1
FLUSH 1790015689357 n=2
FLUSH 1790015689873 n=2
FLUSH 1790015690078 n=1
FLUSH 1790015690380 n=2
FLUSH 1790015690891 n=2
FLUSH 1790015691080 n=1
FLUSH 1790015691405 n=2
FLUSH 1790015691907 n=2
FLUSH 1790015692095 n=1
FLUSH 1790015692407 n=2
FLUSH 1790015692916 n=2
FLUSH 1790015693102 n=1
FLUSH 1790015693422 n=2
FLUSH 1790015693933 n=2
FLUSH 1790015694113 n=1
FLUSH 1790015694431 n=2
FLUSH 1790015694942 n=2
FLUSH 1790015695124 n=1
FLUSH 1790015695442 n=2
FLUSH 1790015695960 n=2
FLUSH 1790015696143 n=1
FLUSH 1790015696461 n=2
FLUSH 1790015696973 n=2
FLUSH 1790015697160 n=1
FLUSH 1790015697475 n=2
FLUSH 1790015697976 n=2
FLUSH 1790015698177 n=1
FLUSH 1790015698493 n=2
FLUSH 1790015699005 n=2
FLUSH 1790015699192 n=1
FLUSH 1790015699510 n=2
FLUSH 1790015700010 n=2
FLUSH 1790015700211 n=1
FLUSH 1790015700526 n=2
FLUSH 1790015701026 n=2
FLUSH 1790015701228 n=1
FLUSH 1790015701543 n=2
FLUSH 1790015702043 n=2
FLUSH 1790015702244 n=1
FLUSH 1790015702549 n=2
FLUSH 1790015703065 n=2
FLUSH 1790015703258 n=1
FLUSH 1790015703579 n=2
FLUSH 1790015704086 n=2
FLUSH 1790015704261 n=1
FLUSH 1790015704595 n=2
FLUSH 1790015705107 n=2
FLUSH 1790015705264 n=1
FLUSH 1790015705616 n=2
FLUSH 1790015706131 n=2
FLUSH 1790015706275 n=1
FLUSH 1790015706627 n=2
FLUSH 1790015707143 n=2
FLUSH 1790015707291 n=1
FLUSH 1790015707643 n=2
FLUSH 1790015708143 n=2
FLUSH 1790015708309 n=1
FLUSH 1790015708660 n=2
FLUSH 1790015709174 n=2
FLUSH 1790015709308 n=1
FLUSH 1790015709674 n=2
FLUSH 1790015710193 n=2
FLUSH 1790015710320 n=1
FLUSH 1790015710692 n=2
FLUSH 1790015711209 n=2
FLUSH 1790015711321 n=1
FLUSH 1790015711726 n=2
FLUSH 1790015712224 n=2
FLUSH 1790015712323 n=1
FLUSH 1790015712742 n=2
FLUSH 1790015713259 n=2
FLUSH 1790015713327 n=1
FLUSH 1790015713753 n=2
FLUSH 1790015714256 n=2
FLUSH 1790015714341 n=1
FLUSH 1790015714757 n=2
FLUSH 1790015715259 n=2
FLUSH 1790015715342 n=1
FLUSH 1790015715775 n=2
FLUSH 1790015716291 n=2
FLUSH 1790015716359 n=1
FLUSH 1790015716807 n=2
FLUSH 1790015717316 n=2
FLUSH 1790015717363 n=1
FLUSH 1790015717825 n=2
FLUSH 1790015718346 n=2
FLUSH 1790015718380 n=1
FLUSH 1790015718841 n=2
FLUSH 1790015719358 n=2
FLUSH 1790015719389 n=1
FLUSH 1790015719874 n=2
FLUSH 1790015720379 n=2
FLUSH 1790015720394 n=1
FLUSH 1790015720892 n=2
FLUSH 1790015721393 n=2
FLUSH 1790015721407 n=1
FLUSH 1790015721906 n=2
FLUSH 1790015722426 n=3
FLUSH 1790015722932 n=2
FLUSH 1790015723424 n=1
FLUSH 1790015723443 n=2
FLUSH 1790015723958 n=2
FLUSH 1790015724442 n=1
FLUSH 1790015724476 n=2
FLUSH 1790015724992 n=2
FLUSH 1790015725440 n=1
FLUSH 1790015725492 n=2
FLUSH 1790015725988 n=2
FLUSH 1790015726456 n=1
